"WP4","campaign","dr_ss","pu"
3507,1,0.004417472,1
3508,1,0.001306444,1
3509,1,0.000648,1
3510,1,0.00039,1
3511,1,0.000421,1
3512,1,0.000638,1
3513,1,0.006852424,1
3514,1,0.012406564,1
3515,1,0.004131237,1
3516,1,0.037415749,1
3517,1,0.111390876,1
3518,1,0.099914997,1
3519,1,0.01163979,1
3520,1,0.012216974,1
3521,1,0.131214007,1
3522,1,0.154258666,1
3523,1,0.056296985,1
3524,1,0.222080529,1
3525,1,0.111883473,1
3526,1,0.152166392,1
3527,1,0.245336334,1
3528,1,0.188029794,1
3529,1,0.204512959,1
3530,1,0.155538224,1
3531,1,0.15531321,1
3532,1,0.140022321,1
3533,1,0.135429736,1
3534,1,0.195542045,1
3535,1,0.161455634,1
3536,1,0.254359306,1
3537,1,0.406098566,1
3538,1,0.530762941,1
3539,1,0.461288224,1
3540,1,0.128107883,1
3541,1,0.562936672,1
3542,1,0.321541771,1
3543,1,0.495311553,1
3544,1,0.412631387,1
3545,1,0.094390167,1
3546,1,0.034516496,1
3547,1,0.010887956,1
3548,1,0.028607428,1
3549,1,0.007699343,1
3550,1,0.058414744,1
3551,1,0.096871489,1
3552,1,0.198195238,1
3553,1,0.081544822,1
3554,1,0.017948045,1
3555,1,0.00979339,1
3556,1,0,1
3557,1,0.003106424,1
3558,1,0.013773377,1
3559,1,0.028999421,1
3560,1,0.033242633,1
3561,1,0.112619619,1
3562,1,0.036916445,1
3563,1,0,1
3564,1,0.035278065,1
3565,1,0.102926562,1
3566,1,0.292893796,1
3567,1,0.1272754,1
3568,1,0.319250239,1
3569,1,0.178180435,1
3570,1,0.140920774,1
3571,1,0.071509308,1
3572,1,0.107908388,1
3573,1,0.140818656,1
3574,1,0.055215047,1
3575,1,0.055277623,1
3576,1,0.012394923,1
3577,1,0.025598688,1
3578,1,0.028738081,1
3579,1,0.025887352,1
3580,1,0.107581915,1
3581,1,0.074733457,1
3582,1,0.035777103,1
3583,1,0.018477152,1
3584,1,0.078408923,1
3585,1,0.147183831,1
3586,1,0.018431684,1
3587,1,0.005434463,1
3588,1,0.060133667,1
3589,1,0.1465417,1
3590,1,0.124218033,1
3592,1,0.156491156,1
3593,1,0.010275591,1
3594,1,0.095704401,1
3595,1,0.076202261,1
3596,1,0.013036808,1
3597,1,0.027449044,1
3598,1,0.027033021,1
3599,1,0.01481224,1
3600,1,0.026288293,1
3601,1,0.052330328,1
3602,1,0.023402863,1
3603,1,0.008188889,1
3604,1,0.052292284,1
3605,1,0.024352365,1
3606,1,0.099357038,1
3607,1,0.088570191,1
3608,1,0.132438751,1
3609,1,0.067165541,1
3610,1,0.055994461,1
3611,1,0.031297959,1
3612,1,0.041714758,1
3613,1,0.024116576,1
3614,1,0.055830277,1
3615,1,0.139751136,1
3616,1,0.094566829,1
3617,1,0.073511985,1
3618,1,0.103828419,1
3619,1,0.053336262,1
3620,1,0.071954747,1
3621,1,0.100073107,1
3622,1,0.050550716,1
3623,1,0.054362106,1
3624,1,0.077429246,1
3625,1,0.038067036,1
3626,1,0.155930003,1
3627,1,0.156314209,1
3628,1,0.098665551,1
3629,1,0.012701576,1
3630,1,0.107405624,1
3631,1,0.107504346,1
3632,1,0.086796655,1
3633,1,0.007678699,1
3634,1,0.093774773,1
3635,1,0.06085396,1
3636,1,0.014975086,1
3637,1,0.075028289,1
3638,1,0.011491809,1
3639,1,0.0817712,1
3640,1,0.014726728,1
3641,1,0.121685626,1
3642,1,0.3538903,1
3643,1,0.023306623,1
3644,1,0.094886147,1
3645,1,0.066910225,1
3646,1,0.020946057,1
3647,1,0.013497968,1
3648,1,0.082950155,1
3649,1,0.081179045,1
3650,1,0.23563793,1
3651,1,0.046153892,1
3652,1,0.209788533,1
3653,1,0.018095841,1
3654,1,0.195893162,1
3655,1,0.119727319,1
3656,1,0.142338869,1
3657,1,0.170420429,1
3658,1,0.276945143,1
3659,1,0.127091869,1
3660,1,0.1050455,1
3661,1,0.05794608,1
3662,1,1,1
3663,1,0.435758434,1
3664,1,0.14829755,1
3665,1,0.134876478,1
3666,1,0.126518639,1
3667,1,0.164943235,1
3668,1,0.050458557,1
3669,1,0.093774373,1
3670,1,0.141941816,1
3671,1,0.09897293,1
3672,1,0.010493209,1
3673,1,0,1
3674,1,0.10292867,1
3675,1,0.112454898,1
3676,1,0.060428981,1
3677,1,0.05545575,1
3678,1,0.067673609,1
3679,1,0.15444062,1
3680,1,0.163073108,1
3681,1,0.127991223,1
3682,1,0.060704438,1
3683,1,0.012792909,1
3684,1,0,1
3685,1,0.036033955,1
3686,1,0.028403268,1
3687,1,0.166596346,1
3688,1,0.202397165,1
3689,1,0.114172934,1
3690,1,0.098417094,1
3691,1,0.157248855,1
3692,1,0.091619762,1
3693,1,0.155215347,1
3694,1,0.129946765,1
3695,1,0.07815845,1
3696,1,0.088785642,1
3697,1,0.467101863,1
3698,1,0.448965265,1
3699,1,0.227228103,1
3700,1,0.12920608,1
3701,1,0.367244904,1
3702,1,0.38827416,1
3703,1,0.196817573,1
3704,1,0.16685621,1
3705,1,0.4930316,1
3706,1,0.285414888,1
3707,1,0.455148541,1
3708,1,0.363265954,1
3709,1,0.120086083,1
3710,1,0.229234431,1
3711,1,0.154693336,1
3712,1,0.233003673,1
3713,1,0.029569128,1
3714,1,0.230679618,1
3715,1,0.274865055,1
3716,1,0.125861889,1
3717,1,0.067830749,1
3718,1,0.156433044,1
3719,1,0.154160553,1
3720,1,0.002544247,1
3721,1,0.147508822,1
3722,1,0.127637076,1
3723,1,0.067967507,1
3724,1,0.27793483,1
3725,1,0.193163218,1
3727,1,0.102160253,1
3728,1,0.167597193,1
3729,1,0.128470655,1
3730,1,0.174437952,1
3731,1,0.281853008,1
3733,1,0.134628128,1
3734,1,0.10087774,1
3735,1,0.227732866,1
3736,1,0.127452127,1
3737,1,0.333894642,1
3738,1,0.25270973,1
3739,1,0.27589583,1
3740,1,0.621333729,1
3741,1,0.464215526,1
3742,1,0.29079125,1
3743,1,0.373897845,1
3744,1,0.336929494,1
3745,1,0.275761418,1
3746,1,0.309459383,1
3747,1,0.248482204,1
3748,1,0.178742925,1
3749,1,0.275911357,1
3750,1,0.089090189,1
3751,1,0.247303556,1
3752,1,0.241442685,1
3753,1,0.46471145,1
3754,1,0.076448673,1
3755,1,0.022500533,1
3756,1,0.043840823,1
3757,1,0.07227354,1
3758,1,0.159778002,1
3759,1,0.06872781,1
3760,1,0.048851477,1
3761,1,0.24489402,1
3762,1,0.15447747,1
3763,1,0.133706268,1
3764,1,0.157604908,1
3765,1,0.125332701,1
3766,1,0.192848947,1
3767,1,0.16570836,1
3768,1,0.199794179,1
3769,1,0.240427607,1
3770,1,0.165139316,1
3771,1,0.208026853,1
3772,1,0.16669211,1
3773,1,0.127531779,1
3775,1,0.120144841,1
3776,1,0.160611171,1
3777,1,0.229217913,1
3778,1,0.219794277,1
3779,1,0.13400991,1
3780,1,0.103537709,1
3781,1,0.034967969,1
3782,1,0.047031025,1
3783,1,0.193117353,1
3784,1,0.201122137,1
3785,1,0.16580964,1
3786,1,0.308191029,1
3787,1,0.140948656,1
3788,1,0.236898027,1
3789,1,0.112393018,1
3790,1,0.205176248,1
3791,1,0.086958133,1
3792,1,0.190735716,1
3793,1,0.240820585,1
3794,1,0.296832531,1
3795,1,0.062409693,1
3796,1,0.131789014,1
3797,1,0.137357177,1
3798,1,0.157508964,1
3799,1,0.16104029,1
3800,1,0.061634326,1
3801,1,0.143876629,1
3802,1,0.164978268,1
3803,1,0.069922891,1
3804,1,0.174847321,1
3805,1,0.161834023,1
3806,1,0.103231192,1
3807,1,0.144926442,1
3808,1,0.134125221,1
3809,1,0.113204683,1
3810,1,0.085367348,1
3811,1,0.184725776,1
3812,1,0.061972752,1
3813,1,0.10631494,1
3814,1,0.163219061,1
3815,1,0.051653833,1
3816,1,0.109405475,1
3817,1,0.116240804,1
3818,1,0.119615347,1
3819,1,0.016055468,1
3820,1,0.13986399,1
3821,1,0.037948088,1
3822,1,0.000165,1
3823,1,0.014071706,1
3824,1,0.028689282,1
3825,1,0.024753492,1
3826,1,0.090917558,1
3827,1,0.11690598,1
3828,1,0.224778913,1
3829,1,0.174570871,1
3830,1,0.10204795,1
3831,1,0.044679856,1
3832,1,0.109017428,1
3833,1,0.015661064,1
3834,1,0.050134278,1
3835,1,2.36e-05,1
3836,1,0.000105,1
3837,1,0.000191,1
3838,1,0.004772743,1
3839,1,0.00281797,1
3840,1,0.001266526,1
3841,1,0.001298716,1
3842,1,0.00102934,1
3843,1,0.00395808,1
3844,1,0.001513207,1
3845,1,0.000565,1
3846,1,0.000432,1
3847,1,0.007231695,1
3848,1,0.039364903,1
3849,1,0.031454723,1
3850,1,0.093473658,1
3851,1,0.126299755,1
3852,1,0.126539572,1
3853,1,0.034957377,1
3854,1,0.001130337,1
3855,1,0.002259052,1
3856,1,0.000772,1
3857,1,0.001715446,1
3858,1,0.001404743,1
3859,1,5.86e-05,1
3860,1,0.000127,1
3861,1,0.000119,1
3862,1,0.003084294,1
3863,1,5.79e-05,1
3864,1,0.000228,1
3865,1,0.000504,1
3866,1,0.00063,1
3867,1,0.003583438,1
3868,1,0.000825,1
3869,1,0.001237631,1
3870,1,0.002099313,1
3871,1,0.001440543,1
3872,1,0.000379,1
3873,1,0.002615795,1
3874,1,0.001095205,1
3875,1,0.000627,1
3876,1,0.000422,1
3877,1,2.64e-05,1
3878,1,0.001423189,1
3879,1,0.000762,1
3880,1,0.002203,1
3947,1,0.530762941,1
3507,2,0.004417472,1
3508,2,0.001306444,1
3509,2,0.000648,1
3510,2,0.00039,1
3511,2,0.000421,1
3512,2,0.000638,1
3513,2,0.006852424,1
3514,2,0.012406564,1
3515,2,0.004131237,1
3516,2,0.037415749,1
3517,2,0.111390876,1
3518,2,0.099914997,1
3519,2,0.01163979,1
3520,2,0.012216974,1
3521,2,0.131214007,1
3522,2,0.154258666,1
3523,2,0.056296985,1
3524,2,0.222080529,1
3525,2,0.111883473,1
3526,2,0.152166392,1
3527,2,0.245336334,1
3528,2,0.188029794,1
3529,2,0.204512959,1
3530,2,0.155538224,1
3531,2,0.15531321,1
3532,2,0.140022321,1
3533,2,0.135429736,1
3534,2,0.195542045,1
3535,2,0.161455634,1
3536,2,0.254359306,1
3537,2,0.406098566,1
3538,2,0.530762941,1
3539,2,0.461288224,1
3540,2,0.128107883,1
3541,2,0.562936672,1
3542,2,0.321541771,1
3543,2,0.495311553,1
3544,2,0.412631387,1
3545,2,0.094390167,1
3546,2,0.034516496,1
3547,2,0.010887956,1
3548,2,0.028607428,1
3549,2,0.007699343,1
3550,2,0.058414744,1
3551,2,0.096871489,1
3552,2,0.198195238,1
3553,2,0.081544822,1
3554,2,0.017948045,1
3555,2,0.00979339,1
3556,2,0,1
3557,2,0.003106424,1
3558,2,0.013773377,1
3559,2,0.028999421,1
3560,2,0.033242633,1
3561,2,0.112619619,1
3562,2,0.036916445,1
3563,2,0,1
3564,2,0.035278065,1
3565,2,0.102926562,1
3566,2,0.292893796,1
3567,2,0.1272754,1
3568,2,0.319250239,1
3569,2,0.178180435,1
3570,2,0.140920774,1
3571,2,0.071509308,1
3572,2,0.107908388,1
3573,2,0.140818656,1
3574,2,0.055215047,1
3575,2,0.055277623,1
3576,2,0.012394923,1
3577,2,0.025598688,1
3578,2,0.028738081,1
3579,2,0.025887352,1
3580,2,0.107581915,1
3581,2,0.074733457,1
3582,2,0.035777103,1
3583,2,0.018477152,1
3584,2,0.078408923,1
3585,2,0.147183831,1
3586,2,0.018431684,1
3587,2,0.005434463,1
3588,2,0.060133667,1
3589,2,0.1465417,1
3590,2,0.124218033,1
3592,2,0.156491156,1
3593,2,0.010275591,1
3594,2,0.095704401,1
3595,2,0.076202261,1
3596,2,0.013036808,1
3597,2,0.027449044,1
3598,2,0.027033021,1
3599,2,0.01481224,1
3600,2,0.026288293,1
3601,2,0.052330328,1
3602,2,0.023402863,1
3603,2,0.008188889,1
3604,2,0.052292284,1
3605,2,0.024352365,1
3606,2,0.099357038,1
3607,2,0.088570191,1
3608,2,0.132438751,1
3609,2,0.067165541,1
3610,2,0.055994461,1
3611,2,0.031297959,1
3612,2,0.041714758,1
3613,2,0.024116576,1
3614,2,0.055830277,1
3615,2,0.139751136,1
3616,2,0.094566829,1
3617,2,0.073511985,1
3618,2,0.103828419,1
3619,2,0.053336262,1
3620,2,0.071954747,1
3621,2,0.100073107,1
3622,2,0.050550716,1
3623,2,0.054362106,1
3624,2,0.077429246,1
3625,2,0.038067036,1
3626,2,0.155930003,1
3627,2,0.156314209,1
3628,2,0.098665551,1
3629,2,0.012701576,1
3630,2,0.107405624,1
3631,2,0.107504346,1
3632,2,0.086796655,1
3633,2,0.007678699,1
3634,2,0.093774773,1
3635,2,0.06085396,1
3636,2,0.014975086,1
3637,2,0.075028289,1
3638,2,0.011491809,1
3639,2,0.0817712,1
3640,2,0.014726728,1
3641,2,0.121685626,1
3642,2,0.3538903,1
3643,2,0.023306623,1
3644,2,0.094886147,1
3645,2,0.066910225,1
3646,2,0.020946057,1
3647,2,0.013497968,1
3648,2,0.082950155,1
3649,2,0.081179045,1
3650,2,0.23563793,1
3651,2,0.046153892,1
3652,2,0.209788533,1
3653,2,0.018095841,1
3654,2,0.195893162,1
3655,2,0.119727319,1
3656,2,0.142338869,1
3657,2,0.170420429,1
3658,2,0.276945143,1
3659,2,0.127091869,1
3660,2,0.1050455,1
3661,2,0.05794608,1
3662,2,1,1
3663,2,0.435758434,1
3664,2,0.14829755,1
3665,2,0.134876478,1
3666,2,0.126518639,1
3667,2,0.164943235,1
3668,2,0.050458557,1
3669,2,0.093774373,1
3670,2,0.141941816,1
3671,2,0.09897293,1
3672,2,0.010493209,1
3673,2,0,1
3674,2,0.10292867,1
3675,2,0.112454898,1
3676,2,0.060428981,1
3677,2,0.05545575,1
3678,2,0.067673609,1
3679,2,0.15444062,1
3680,2,0.163073108,1
3681,2,0.127991223,1
3682,2,0.060704438,1
3683,2,0.012792909,1
3684,2,0,1
3685,2,0.036033955,1
3686,2,0.028403268,1
3687,2,0.166596346,1
3688,2,0.202397165,1
3689,2,0.114172934,1
3690,2,0.098417094,1
3691,2,0.157248855,1
3692,2,0.091619762,1
3693,2,0.155215347,1
3694,2,0.129946765,1
3695,2,0.07815845,1
3696,2,0.088785642,1
3697,2,0.467101863,1
3698,2,0.448965265,1
3699,2,0.227228103,1
3700,2,0.12920608,1
3701,2,0.367244904,1
3702,2,0.38827416,1
3703,2,0.196817573,1
3704,2,0.16685621,1
3705,2,0.4930316,1
3706,2,0.285414888,1
3707,2,0.455148541,1
3708,2,0.363265954,1
3709,2,0.120086083,1
3710,2,0.229234431,1
3711,2,0.154693336,1
3712,2,0.233003673,1
3713,2,0.029569128,1
3714,2,0.230679618,1
3715,2,0.274865055,1
3716,2,0.125861889,1
3717,2,0.067830749,1
3718,2,0.156433044,1
3719,2,0.154160553,1
3720,2,0.002544247,1
3721,2,0.147508822,1
3722,2,0.127637076,1
3723,2,0.067967507,1
3724,2,0.27793483,1
3725,2,0.193163218,1
3727,2,0.102160253,1
3728,2,0.167597193,1
3729,2,0.128470655,1
3730,2,0.174437952,1
3731,2,0.281853008,1
3733,2,0.134628128,1
3734,2,0.10087774,1
3735,2,0.227732866,1
3736,2,0.127452127,1
3737,2,0.333894642,1
3738,2,0.25270973,1
3739,2,0.27589583,1
3740,2,0.621333729,1
3741,2,0.464215526,1
3742,2,0.29079125,1
3743,2,0.373897845,1
3744,2,0.336929494,1
3745,2,0.275761418,1
3746,2,0.309459383,1
3747,2,0.248482204,1
3748,2,0.178742925,1
3749,2,0.275911357,1
3750,2,0.089090189,1
3751,2,0.247303556,1
3752,2,0.241442685,1
3753,2,0.46471145,1
3754,2,0.076448673,1
3755,2,0.022500533,1
3756,2,0.043840823,1
3757,2,0.07227354,1
3758,2,0.159778002,1
3759,2,0.06872781,1
3760,2,0.048851477,1
3761,2,0.24489402,1
3762,2,0.15447747,1
3763,2,0.133706268,1
3764,2,0.157604908,1
3765,2,0.125332701,1
3766,2,0.192848947,1
3767,2,0.16570836,1
3768,2,0.199794179,1
3769,2,0.240427607,1
3770,2,0.165139316,1
3771,2,0.208026853,1
3772,2,0.16669211,1
3773,2,0.127531779,1
3775,2,0.120144841,1
3776,2,0.160611171,1
3777,2,0.229217913,1
3778,2,0.219794277,1
3779,2,0.13400991,1
3780,2,0.103537709,1
3781,2,0.034967969,1
3782,2,0.047031025,1
3783,2,0.193117353,1
3784,2,0.201122137,1
3785,2,0.16580964,1
3786,2,0.308191029,1
3787,2,0.140948656,1
3788,2,0.236898027,1
3789,2,0.112393018,1
3790,2,0.205176248,1
3791,2,0.086958133,1
3792,2,0.190735716,1
3793,2,0.240820585,1
3794,2,0.296832531,1
3795,2,0.062409693,1
3796,2,0.131789014,1
3797,2,0.137357177,1
3798,2,0.157508964,1
3799,2,0.16104029,1
3800,2,0.061634326,1
3801,2,0.143876629,1
3802,2,0.164978268,1
3803,2,0.069922891,1
3804,2,0.174847321,1
3805,2,0.161834023,1
3806,2,0.103231192,1
3807,2,0.144926442,1
3808,2,0.134125221,1
3809,2,0.113204683,1
3810,2,0.085367348,1
3811,2,0.184725776,1
3812,2,0.061972752,1
3813,2,0.10631494,1
3814,2,0.163219061,1
3815,2,0.051653833,1
3816,2,0.109405475,1
3817,2,0.116240804,1
3818,2,0.119615347,1
3819,2,0.016055468,1
3820,2,0.13986399,1
3821,2,0.037948088,1
3822,2,0.000165,1
3823,2,0.014071706,1
3824,2,0.028689282,1
3825,2,0.024753492,1
3826,2,0.090917558,1
3827,2,0.11690598,1
3828,2,0.224778913,1
3829,2,0.174570871,1
3830,2,0.10204795,1
3831,2,0.044679856,1
3832,2,0.109017428,1
3833,2,0.015661064,1
3834,2,0.050134278,1
3835,2,2.36e-05,1
3836,2,0.000105,1
3837,2,0.000191,1
3838,2,0.004772743,1
3839,2,0.00281797,1
3840,2,0.001266526,1
3841,2,0.001298716,1
3842,2,0.00102934,1
3843,2,0.00395808,1
3844,2,0.001513207,1
3845,2,0.000565,1
3846,2,0.000432,1
3847,2,0.007231695,1
3848,2,0.039364903,1
3849,2,0.031454723,1
3850,2,0.093473658,1
3851,2,0.126299755,1
3852,2,0.126539572,1
3853,2,0.034957377,1
3854,2,0.001130337,1
3855,2,0.002259052,1
3856,2,0.000772,1
3857,2,0.001715446,1
3858,2,0.001404743,1
3859,2,5.86e-05,1
3860,2,0.000127,1
3861,2,0.000119,1
3862,2,0.003084294,1
3863,2,5.79e-05,1
3864,2,0.000228,1
3865,2,0.000504,1
3866,2,0.00063,1
3867,2,0.003583438,1
3868,2,0.000825,1
3869,2,0.001237631,1
3870,2,0.002099313,1
3871,2,0.001440543,1
3872,2,0.000379,1
3873,2,0.002615795,1
3874,2,0.001095205,1
3875,2,0.000627,1
3876,2,0.000422,1
3877,2,2.64e-05,1
3878,2,0.001423189,1
3879,2,0.000762,1
3880,2,0.002203,1
