WP4;DRN;dem;nep;co2
3507;France;0.002352224;-0.088774911;16556.54673
3508;France;0.002150526;0.081776116;38105.70841
3509;France;0.002163654;9.40E-05;37328.05963
3510;France;0.002163619;-0.092698422;43558.364
3511;France;0.002167052;-0.057765981;48830.38566
3512;France;0.002168831;-0.017332294;47491.06627
3513;France;0.002196909;0.427724517;50027.54475
3514;France;0.002233432;1.158800176;32592.23794
3515;France;0.002520002;1.516767789;10786.99514
3516;France;0.002576654;1.236164099;53225.02617
3517;France;0.00261244;0.727171171;48122.48239
3518;France;0.002621901;1.228702283;37430.77097
3519;France;0.002617439;2.021581425;20819.56588
3520;France;0.002928499;0.64777695;568.2284496
3521;France;0.002673392;4.002336518;45625.44778
3522;France;0.002613149;2.592839485;36541.77593
3523;France;0.002646641;1.946899592;1319.486368
3524;France;0.002631207;2.165412121;14823.42801
3525;France;0.002617191;2.611024405;30083.68306
3526;France;0.002618745;2.458605139;11355.56334
3527;France;0.002598424;1.820090686;50723.95867
3528;France;0.002597357;1.730375459;9822.09608
3529;France;0.00255927;1.207478899;14891.34444
3530;France;0.002551238;1.690503761;5445.560829
3531;France;0.002573432;1.838248498;2351.842927
3532;France;0.002582756;1.846846243;46009.92456
3533;France;0.002571797;2.019482199;8099.789289
3534;France;0.002576295;2.134472779;29867.39745
3535;France;0.002583827;0.923615198;10874.32917
3536;France;0.002538831;0.546313508;22343.63973
3537;France;0.002283889;0.515586004;22898.41908
3538;France;0.002293758;0.474126177;23400.43641
3539;France;0.002298353;0.429648236;23985.04932
3540;France;0.002293836;0.729858192;4595.983621
3541;France;0.002277092;0.381783527;29730.74804
3542;France;0.002327608;0.629906964;8978.519488
3543;France;0.002191707;-0.326783939;10018.84552
3544;France;0.002189977;-0.223949166;20344.87536
3545;France;0.001739742;-0.429738403;1397.650995
3546;France;0.002190747;-0.532782443;17997.12212
3547;France;0.001695976;-0.508873418;855.843504
3548;France;0.001701431;-0.509463461;1636.916874
3549;France;0.001700909;-0.518681213;2119.0942
3550;France;0.001922818;-0.530292262;2945.306286
3551;France;0.001677148;-0.464287077;4766.08711
3552;France;0.001681784;-0.455837955;6518.182345
3553;France;0.001636398;-0.516878279;1254.163003
3554;France;0.001687849;-0.550267412;4506.799886
3555;France;0.001908627;-0.639995331;2601.495019
3556;France;0.002301096;-0.629196017;2509.824982
3557;France;0.00207942;-0.631353584;907.340276
3558;France;0.002046149;-0.575437493;3443.882051
3559;France;0.001974258;-0.556282683;7035.636883
3560;France;0.002077905;-0.568974986;3271.699175
3561;France;0.002275199;-0.582819496;4377.543517
3562;France;0.002215828;-0.621837619;7098.454062
3563;France;0.002222262;-0.68221451;1877.37471
3564;France;0.002223765;-0.591829008;4338.208746
3565;France;0.002234779;-0.590832788;12532.18695
3566;France;0.002324917;-0.419056827;4542.624921
3567;France;0.002321928;-0.461478129;10080.27802
3568;France;0.002337081;-0.458916191;7131.828795
3569;France;0.002363935;-0.5217543;5335.629244
3570;France;0.001777449;-0.624072631;237.6176362
3571;France;0.001682345;-0.576489685;696.1951822
3572;France;0.002429411;-0.573191423;862.7100065
3573;France;0.001973957;-0.586686394;893.9859575
3574;France;0.001842759;-0.452053996;7980.256867
3575;France;0.002320879;-0.580418447;1161.661707
3576;France;0.001943239;-0.621170034;1960.433628
3577;France;0.001932941;-0.564225546;1855.760616
3578;France;0.001959926;-0.574520154;2136.753296
3579;France;0.001806985;-0.576145207;1995.438229
3580;France;0.001900086;-0.582630893;804.5082188
3581;France;0.002398251;-0.759663524;1406.308896
3582;France;0.001967506;-0.55377568;2826.526189
3583;France;0.001905655;-0.546501041;5009.71509
3584;France;0.001868466;-0.628826583;3277.802972
3585;France;0.002379058;-0.616777905;1771.7846
3586;France;0.001863639;-0.480159961;1935.212381
3587;France;0.002357517;-0.543389342;1459.685872
3588;France;0.002458195;-0.578556648;561.2618449
3589;France;0.002389779;-0.547315279;3462.797366
3590;France;0.002415115;-0.628178874;550.5324422
3592;France;0.002472436;-0.578521816;819.2647449
3593;France;0.002540772;-0.561002085;809.3103122
3594;France;0.002457196;-0.530838263;1789.331396
3595;France;0.002354078;-0.657631643;2989.417165
3596;France;0.001934923;-0.635030542;620.3846909
3597;France;0.002475664;-0.632361353;1319.122363
3598;France;0.002430342;-0.573718278;1959.19355
3599;France;0.001949856;-0.5025356;1769.886311
3600;France;0.002394279;-0.618881553;2159.40233
3601;France;0.002402587;-0.536277064;2156.345643
3602;France;0.001954116;-0.526971071;4161.638966
3603;France;0.001985449;-0.493667189;1438.854229
3604;France;0.001979314;-0.540987438;1779.185032
3605;France;0.002408828;-0.478459987;1673.557856
3606;France;0.002541129;-0.531613494;2156.070083
3607;France;0.002537736;-0.542285643;687.2621244
3608;France;0.0019203;-0.530518931;1260.012447
3609;France;0.002474915;-0.560149859;780.2417493
3610;France;0.002520756;-0.574352617;1226.242146
3611;France;0.002384816;-0.553443032;3483.252805
3612;France;0.002299126;-0.511282378;1699.69367
3613;France;0.002510945;-0.54228895;1013.661228
3614;France;0.002456818;-0.566369644;2956.263022
3615;France;0.001875094;-0.661016607;523.9260783
3616;France;0.002487747;-0.529512049;2856.776869
3617;France;0.001843014;-0.541363344;2703.036293
3618;France;0.001998099;-0.57325869;2254.000426
3619;France;0.001894303;-0.578756789;1096.535022
3620;France;0.002389867;-0.655267667;925.6178555
3621;France;0.00242008;-0.584415576;1411.833451
3622;France;0.00186608;-0.513058569;1763.652367
3623;France;0.001909377;-0.568386206;7242.770653
3624;France;0.001973327;-0.66484276;3185.614811
3625;France;0.002482142;-0.694328526;931.8593308
3626;France;0.001979397;-0.540537139;1995.229152
3627;France;0.001955073;-0.580958151;1645.360599
3628;France;0.00245207;-0.708055201;758.7698295
3629;France;0.002346884;-0.554290048;3765.993207
3630;France;0.001970322;-0.549596018;3502.700553
3631;France;0.002324728;-0.601830885;2605.454061
3632;France;0.002401573;-0.527891793;2375.692817
3633;France;0.002351158;-0.498286172;2742.264642
3634;France;0.00228678;-0.563659346;2175.501005
3635;France;0.001991299;-0.462974534;739.9740626
3636;France;0.001968816;-0.524136539;5376.677283
3637;France;0.002390203;-0.50117995;2735.006555
3638;France;0.002380228;-0.562025357;3058.292437
3639;France;0.002323627;-0.59941035;4775.555705
3640;France;0.001977618;-0.606828751;726.0553904
3641;France;0.001847231;-0.606601204;7482.100401
3642;France;0.002281615;-0.513111845;6093.306221
3643;France;0.002330289;-0.555461;3593.992192
3644;France;0.002338367;-0.602353331;339.167054
3645;France;0.002352679;-0.615966091;2264.701689
3646;France;0.001777477;-0.59114087;2374.468763
3647;France;0.002443134;-0.573475088;884.0104818
3648;France;0.002401379;-0.631068046;591.5326297
3649;France;0.001947171;-0.510725703;1629.035139
3650;France;0.00181747;-0.568937587;5777.039181
3651;France;0.002360328;-0.487953895;4043.543304
3652;France;0.001938452;-0.538095243;842.6056135
3653;France;0.002338035;-0.577970311;6864.888691
3654;France;0.002284682;-0.596010852;5569.029595
3655;France;0.002274641;-0.58075272;5273.39073
3656;France;0.001811356;-0.577589414;1402.631408
3657;France;0.001896898;-0.608112851;2981.926415
3658;France;0.001968248;-0.474600453;6028.118752
3659;France;0.00189228;-0.541429237;3363.550997
3660;France;0.0018698;-0.589836815;1701.078227
3661;France;0.002079097;-0.619139102;1087.97124
3662;France;0.001928759;-0.538517663;223.6869041
3663;France;0.002348764;-0.464277833;17734.41358
3664;France;0.002233233;-0.479711047;17848.68729
3665;France;0.002177574;-0.556368815;9738.1892
3666;France;0.00217868;-0.619420519;4800.116548
3667;France;0.001897345;-0.686086668;3749.406131
3668;France;0.001653175;-0.684393154;863.7031831
3669;France;0.001866565;-0.643521649;3212.812537
3670;France;0.001850384;-0.611697476;6855.109829
3671;France;0.001858736;-0.672336642;2756.952173
3672;France;0.002203954;-0.682473145;4931.545561
3673;France;0.001941976;-0.554970222;437.422644
3674;France;0.002209652;-0.517548187;7406.402068
3675;France;0.002253647;-0.544498802;2106.476411
3676;France;0.001926031;-0.538685523;948.0952231
3677;France;0.002250663;-0.553050254;4425.852978
3678;France;0.002391321;-0.618609362;2221.007494
3679;France;0.002423083;-0.560005625;1003.238479
3680;France;0.00183871;-0.593368063;537.9869614
3681;France;0.00238392;-0.575506473;1429.639411
3682;France;0.002395874;-0.612553916;1513.421572
3683;France;0.002010476;-0.53650709;922.2208876
3684;France;0.00194869;-0.610002655;583.7091614
3685;France;0.002341741;-0.564509662;4975.399475
3686;France;0.002381853;-0.570197772;1891.940751
3687;France;0.001984431;-0.530192596;3807.985233
3688;France;0.002418438;-0.595741099;921.7077736
3689;France;0.002398088;-0.590983114;1019.104321
3690;France;0.00241043;-0.555541803;418.5139762
3691;France;0.002406926;-0.587373461;696.9218423
3692;France;0.002397264;-0.474931409;1473.850839
3693;France;0.002353116;-0.508301018;5496.177486
3694;France;0.001844809;-0.57830147;2623.135929
3695;France;0.002486715;-0.530929457;578.3304063
3696;France;0.002342714;-0.52614601;1736.287944
3697;France;0.002554565;-0.359430771;2622.960285
3698;France;0.002500909;-0.366012392;3454.601455
3699;France;0.002448123;-0.59058354;3408.240129
3700;France;0.002462235;-0.513745273;1983.315108
3701;France;0.002483759;-0.508261841;883.35041
3702;France;0.00257121;-0.477405879;2950.836646
3703;France;0.002470917;-0.490667838;2434.813726
3704;France;0.001875639;-0.591772341;926.7157967
3705;France;0.002424675;-0.44727387;3865.789076
3706;France;0.002392589;-0.505195049;3207.958095
3707;France;0.00249341;-0.419930839;1924.959933
3708;France;0.002571242;-0.62684924;537.8772828
3709;France;0.00294494;-0.59652135;5237.084069
3710;France;0.002732759;-0.860051578;7943.092375
3711;France;0.002740415;-0.884913981;6924.052834
3712;France;0.002806124;-0.70595452;7842.555504
3713;France;0.003025257;-0.709675605;259.8650423
3714;France;0.002913272;-0.592277869;11271.92239
3715;France;0.001818644;-0.531737034;3111.833639
3716;France;0.00291025;-0.600508905;3458.919127
3717;France;0.002979465;-0.681045607;3527.756677
3718;France;0.002978107;-0.60004002;577.7136595
3719;France;0.002960977;-0.665023275;3868.532676
3720;France;0.00250335;-0.62743375;575.7256433
3721;France;0.00238851;-0.581367727;1926.238455
3722;France;0.00239271;-0.567064042;1855.890176
3723;France;0.002625167;-0.535016644;928.5776466
3724;France;0.002985246;-0.748616779;540.9389758
3725;France;0.002617839;-0.536062524;1109.452264
3727;France;0.002981655;-0.374170266;1409.643491
3728;France;0.002649455;-0.341280556;959.9529926
3729;France;0.0026307;-0.53263778;861.6584296
3730;France;0.002958877;-0.473506496;2436.678807
3731;France;0.002486384;-0.281745992;3557.25906
3733;France;0.003056312;-0.58051995;1389.609591
3734;France;0.002970676;-0.531373501;2894.219983
3735;France;0.003070549;-0.588522319;1115.453349
3736;France;0.002971384;-0.676894505;5418.243827
3737;France;0.002674208;-0.520039903;25403.97133
3738;France;0.002321941;-0.413917463;22723.08724
3739;France;0.002447915;-0.550675656;20332.24766
3740;France;0.002439519;-0.34101552;6605.291763
3741;France;0.002475228;-0.259066748;4103.798873
3742;France;0.002498614;-0.401173354;8693.900074
3743;France;0.001983457;-0.4101395;1831.927146
3744;France;0.001994696;-0.323304049;7345.597683
3745;France;0.001995529;-0.341290565;4811.368161
3746;France;0.002490656;-0.407116663;1439.68397
3747;France;0.002382677;-0.44917057;4634.564085
3748;France;0.002595915;-0.389085911;2168.020065
3749;France;0.002526051;-0.48468548;5451.863209
3750;France;0.002587495;-0.538795636;4483.948704
3751;France;0.002577075;-0.290884516;2294.095329
3752;France;0.002420497;-0.500659923;4202.434643
3753;France;0.002423058;-0.441559888;8925.428121
3754;France;0.002387258;-0.597749309;8394.236312
3755;France;0.002345966;-0.537106523;2741.593885
3756;France;0.002227239;-0.566655518;7214.99229
3757;France;0.002334286;-0.589913794;5081.064483
3758;France;0.002408017;-0.609407687;952.3283464
3759;France;0.002419921;-0.536804102;1134.914432
3760;France;0.002460683;-0.551122329;1807.08226
3761;France;0.002517279;-0.389182887;1400.344913
3762;France;0.003010335;-0.545594207;2021.508271
3763;France;0.002874327;-1.021612606;7505.703768
3764;France;0.002874181;-0.81832562;19292.64912
3765;France;0.00186563;-0.576460595;4922.231012
3766;France;0.001981431;-0.511730284;3577.423627
3767;France;0.002599008;-0.481194035;2119.893381
3768;France;0.002581724;-0.356525063;3262.599842
3769;France;0.002613882;-0.443696776;873.8169746
3770;France;0.003006095;-0.627843391;1768.423981
3771;France;0.003006134;-0.482014281;1649.413026
3772;France;0.002601752;-0.483298568;5808.095015
3773;France;0.002556595;-0.475218211;5254.967209
3775;France;0.002997678;-0.680798407;3125.215242
3776;France;0.002753523;-0.788442525;30128.64546
3777;France;0.002784772;-0.597683816;45268.12314
3778;France;0.002783968;-0.434728151;25269.24916
3779;France;0.002441912;-0.548026469;29664.87567
3780;France;0.002473843;-0.546575865;1725.78237
3781;France;0.002469736;-0.591393209;3338.950358
3782;France;0.002489112;-0.500542211;7261.453367
3783;France;0.002465927;-0.317366862;18914.34672
3784;France;0.002529667;-0.050660607;13058.31692
3785;France;0.002521203;-0.422138353;2905.342197
3786;France;0.002369692;-0.41739273;6161.486518
3787;France;0.001830554;-0.490013939;2693.937502
3788;France;0.002445698;-0.401772154;1043.524021
3789;France;0.002430515;-0.503850905;3501.552805
3790;France;0.002439298;-0.359477451;1943.676713
3791;France;0.002586618;-0.534236342;3521.843346
3792;France;0.002514065;-0.390970137;6727.313635
3793;France;0.002369649;-0.333423612;3367.449151
3794;France;0.002473004;-0.462728992;3578.295788
3795;France;0.002678179;-0.626596839;2628.258162
3796;France;0.002769144;-0.666533734;1083.957396
3797;France;0.00293877;-0.609767996;5528.284256
3798;France;0.002044546;-0.299169608;9783.426954
3799;France;0.002611846;-0.386117896;4427.563218
3800;France;0.002038183;-0.663371968;2115.622846
3801;France;0.00210513;-0.586492056;3396.702411
3802;France;0.002601588;-0.558448212;664.2041498
3803;France;0.003129136;-0.729379292;1720.216086
3804;France;0.001938568;-0.544422379;756.955782
3805;France;0.001925453;-0.567880474;1087.66773
3806;France;0.003087463;-0.917844118;2857.329138
3807;France;0.002915333;-0.963430061;9763.910835
3808;France;0.002848986;-0.647815005;15501.8098
3809;France;0.002553555;-0.464671956;5417.164069
3810;France;0.002553418;-0.544077264;6499.296846
3811;France;0.002480604;-0.49848047;4124.563414
3812;France;0.002519772;-0.384800015;415.02776
3813;France;0.002594221;-0.408524272;702.4117968
3814;France;0.002594301;-0.529857561;1193.973152
3815;France;0.003057289;-0.733383318;745.7731632
3816;France;0.00189758;-0.584839279;4635.744036
3817;France;0.001912532;-0.895835369;885.6182515
3818;France;0.002987144;-0.727776192;1698.052134
3819;France;0.002880475;-0.993638434;11653.04735
3820;France;0.00292959;-0.486298414;6717.474406
3821;France;0.002976704;-0.841854692;1492.807035
3822;France;0.002972106;-0.986664719;1932.647622
3823;France;0.002741023;-2.474298409;31597.72895
3824;France;0.002886535;-1.578109722;26528.96256
3825;France;0.002929298;-1.045618137;16009.65508
3826;France;0.002934493;-0.948668909;14429.56209
3827;France;0.002927146;-0.748883343;13581.94068
3828;France;0.002533792;-0.643592696;9687.744779
3829;France;0.001996438;-0.474324744;7726.705328
3830;France;0.002551798;-0.43125253;4766.177151
3831;France;0.001958994;-0.543914178;1561.585995
3832;France;0.00261084;-0.608137847;1182.74586
3833;France;0.001869516;-1.06400741;2352.990488
3834;France;0.003071388;-0.849626367;775.3003323
3835;France;0.001983615;-1.200181522;2224.275681
3836;France;0.002795203;-1.209042392;5096.66584
3837;France;0.002793065;-1.247650838;3927.061773
3838;France;0.002067699;-1.778210061;8870.758527
3839;France;0.002032353;-1.839171603;10466.93787
3840;France;0.002034923;-1.814399103;10496.54103
3841;France;0.002046665;-1.797833581;8762.016247
3842;France;0.002097754;-2.045908046;16804.63223
3843;France;0.00253868;-1.922086476;11875.01911
3844;France;0.002542288;-2.589104302;9965.967737
3845;France;0.001819117;-4.191103031;8964.340514
3846;France;0.001822264;-3.468759087;9584.607749
3847;France;0.002658457;-1.939295519;11288.55395
3848;France;0.002843384;-1.581640563;12465.87313
3849;France;0.002914535;-1.470940177;9995.408142
3850;France;0.00294426;-1.084449994;7965.995252
3851;France;0.002617288;-0.474912116;4695.235399
3852;France;0.002673965;-0.451152378;762.3182194
3853;France;0.001991302;-1.216560554;2195.861114
3854;France;0.002821439;-1.109727868;2851.855925
3855;France;0.0019623;-1.500634284;6158.545907
3856;France;0.002930684;-1.109733946;3394.852885
3857;France;0.001905726;-1.086058859;2781.342031
3858;France;0.001890771;-1.60429954;4066.710872
3859;France;0.001921319;-1.662391363;4232.852419
3860;France;0.001885725;-1.300593311;3685.646999
3861;France;0.00283249;-0.977412851;3649.230641
3862;France;0.002879287;-0.987287613;2960.23724
3863;France;0.002986843;-0.967737051;628.5032388
3864;France;0.002945593;-1.128287049;3104.930401
3865;France;0.002991285;-1.059777427;1449.65166
3866;France;0.001980302;-1.055225749;1874.445543
3867;France;0.003007768;-1.207353674;943.9765255
3868;France;0.00195111;-1.207155695;3910.66319
3869;France;0.00196459;-1.7545812;5215.991545
3870;France;0.002064692;-1.550922862;8685.336028
3871;France;0.00206389;-1.155996216;8741.806981
3872;France;0.00210322;-1.598280182;5178.905811
3873;France;0.002101889;-1.513150684;3811.942367
3874;France;0.002738651;-1.190430429;5906.807011
3875;France;0.002713979;-1.191231455;4251.125533
3876;France;0.0028158;-1.189883495;4887.349411
3877;France;0.002804868;-1.210369977;3576.628713
3878;France;0.001979222;-1.120044518;1563.794893
3879;France;0.001941439;-1.196171152;926.3492831
3880;France;0.00288549;-1.554055325;4027.903091
3947;France;0.002552208;-0.545296432;92.67342426
